Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"142","","Locating and Editing Factual Associations in GPT","2022","2022-02-10","Kevin Meng, David Bau, A. Andonian, Yonatan Belinkov","We analyze the storage and recall of factual associations in autoregressive transformer language models, finding evidence that these associations correspond to localized, directly-editable computations. We first develop a causal intervention for identifying neuron activations that are decisive in a model's factual predictions. This reveals a distinct set of steps in middle-layer feed-forward modules that mediate factual predictions while processing subject tokens. To test our hypothesis that these computations correspond to factual association recall, we modify feed-forward weights to update specific factual associations using Rank-One Model Editing (ROME). We find that ROME is effective on a standard zero-shot relation extraction (zsRE) model-editing task, comparable to existing methods. To perform a more sensitive evaluation, we also evaluate ROME on a new dataset of counterfactual assertions, on which it simultaneously maintains both specificity and generalization, whereas other methods sacrifice one or another. Our results confirm an important role for mid-layer feed-forward modules in storing factual associations and suggest that direct manipulation of computational mechanisms may be a feasible approach for model editing. The code, dataset, visualizations, and an interactive demo notebook are available at https://rome.baulab.info/","Neural Information Processing Systems","1736","465.9","","https://arxiv.org/abs/2202.05262","","true","{'url': 'https://arxiv.org/pdf/2202.05262.pdf', 'status': 'GOLD'}","996445d847f06e99b0bd259345408a0cf1bce87e",""
"143","","What’s in the Imageƒ A Deep-Dive into the Vision of Vision Language Models","2024","2024-11-26","Omri Kaduri, Shai Bagon, Tali Dekel","Vision-Language Models (VLMs) have recently demonstrated remarkable capabilities in comprehending complex visual content. However, the mechanisms underlying how VLMs process visual information remain largely unexplored. In this paper, we conduct a thorough empirical analysis, focusing on the attention modules across layers, by which we reveal several key insights about how these models process visual data: (i) the internal representation of the query tokens (e.g., representations of ""describe the image""), is utilized by the model to store global image information; we demonstrate that the model generates surprisingly descriptive responses solely from these tokens, without direct access to image tokens. (ii) Cross-modal information flow is predominantly influenced by the middle layers (approximately 25% of all layers), while early and late layers contribute only marginally. (iii) Fine-grained visual attributes and object details are directly extracted from image tokens in a spatially localized manner, i.e., the generated tokens associated with specific object or attribute attend strongly to their corresponding regions in the image. We propose novel quantitative evaluation to validate our observations, leveraging real-world complex visual scenes. Finally, we demonstrate the potential of our findings in facilitating efficient visual processing in state-of-the-art VLMs.","2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","19","20.4","10.1109/CVPR52734.2025.01356","https://doi.org/10.1109/CVPR52734.2025.01356","","true","{'url': 'https://arxiv.org/pdf/2411.17491.pdf', 'status': 'GOLD'}","a07bd7bcc79c19f7257ac016f950a19a261b2c12",""
"144","","Fine-Tuning Enhances Existing Mechanisms: A Case Study on Entity Tracking","2024","2024-02-22","Nikhil Prakash, Tamar Rott Shaham, Tal Haklay, Yonatan Belinkov, David Bau","Fine-tuning on generalized tasks such as instruction following, code generation, and mathematics has been shown to enhance language models' performance on a range of tasks. Nevertheless, explanations of how such fine-tuning influences the internal computations in these models remain elusive. We study how fine-tuning affects the internal mechanisms implemented in language models. As a case study, we explore the property of entity tracking, a crucial facet of language comprehension, where models fine-tuned on mathematics have substantial performance gains. We identify the mechanism that enables entity tracking and show that (i) in both the original model and its fine-tuned versions primarily the same circuit implements entity tracking. In fact, the entity tracking circuit of the original model on the fine-tuned versions performs better than the full original model. (ii) The circuits of all the models implement roughly the same functionality: Entity tracking is performed by tracking the position of the correct entity in both the original model and its fine-tuned versions. (iii) Performance boost in the fine-tuned models is primarily attributed to its improved ability to handle the augmented positional information. To uncover these findings, we employ: Patch Patching, DCM, which automatically detects model components responsible for specific semantics, and CMAP, a new approach for patching activations across models to reveal improved mechanisms. Our findings suggest that fine-tuning enhances, rather than fundamentally alters, the mechanistic operation of the model.","ArXiv","89","52.5","10.48550/arXiv.2402.14811","https://doi.org/10.48550/arXiv.2402.14811","","true","{'url': 'https://arxiv.org/pdf/2402.14811.pdf', 'status': 'GOLD'}","0edcd3f065caa1d9e2dad4458f5b2f56efa3162b",""
"145","","Interpretability in the Wild: a Circuit for Indirect Object Identification in GPT-2 small","2022","2022-11-01","Kevin Wang, Alexandre Variengien, Arthur Conmy, Buck Shlegeris, J. Steinhardt","Research in mechanistic interpretability seeks to explain behaviors of machine learning models in terms of their internal components. However, most previous work either focuses on simple behaviors in small models, or describes complicated behaviors in larger models with broad strokes. In this work, we bridge this gap by presenting an explanation for how GPT-2 small performs a natural language task called indirect object identification (IOI). Our explanation encompasses 26 attention heads grouped into 7 main classes, which we discovered using a combination of interpretability approaches relying on causal interventions. To our knowledge, this investigation is the largest end-to-end attempt at reverse-engineering a natural behavior""in the wild""in a language model. We evaluate the reliability of our explanation using three quantitative criteria--faithfulness, completeness and minimality. Though these criteria support our explanation, they also point to remaining gaps in our understanding. Our work provides evidence that a mechanistic understanding of large ML models is feasible, opening opportunities to scale our understanding to both larger models and more complex tasks.","ArXiv","705","234.7","10.48550/arXiv.2211.00593","https://doi.org/10.48550/arXiv.2211.00593","","true","{'url': 'https://arxiv.org/pdf/2211.00593', 'status': 'GOLD'}","6edd112383ad494f5f2eba72b6f4ffae122ce61f",""
"146","","Entity Tracking in Language Models","2023","2023-05-03","Najoung Kim, Sebastian Schuster","Keeping track of how states of entities change as a text or dialog unfolds is a key prerequisite to discourse understanding. Yet, there have been few systematic investigations into the ability of large language models (LLMs) to track discourse entities. In this work, we present a task probing to what extent a language model can infer the final state of an entity given an English description of the initial state and a series of state-changing operations. We use this task to first investigate whether Flan-T5, GPT-3 and GPT-3.5 can track the state of entities, and find that only GPT-3.5 models, which have been pretrained on large amounts of code, exhibit this ability. We then investigate whether smaller models pretrained primarily on text can learn to track entities, through finetuning T5 on several training/evaluation splits. While performance degrades for more complex splits, we find that even when evaluated on a different set of entities from training or longer operation sequences, a finetuned model can perform non-trivial entity tracking. Taken together, these results suggest that language models can learn to track entities but pretraining on text corpora alone does not make this capacity surface.","","26","10.4","10.48550/arXiv.2305.02363","https://doi.org/10.48550/arXiv.2305.02363","","true","{'url': 'https://arxiv.org/pdf/2305.02363.pdf', 'status': 'GOLD'}","035d7fce7690d61df76d7479d294e697a4319b7a",""
"147","","Designing and Interpreting Probes with Control Tasks","2019","2019-09-08","John Hewitt, Percy Liang","Probes, supervised models trained to predict properties (like parts-of-speech) from representations (like ELMo), have achieved high accuracy on a range of linguistic tasks. But does this mean that the representations encode linguistic structure or just that the probe has learned the linguistic task? In this paper, we propose control tasks, which associate word types with random outputs, to complement linguistic tasks. By construction, these tasks can only be learned by the probe itself. So a good probe, (one that reflects the representation), should be selective, achieving high linguistic task accuracy and low control task accuracy. The selectivity of a probe puts linguistic task accuracy in context with the probe’s capacity to memorize from word types. We construct control tasks for English part-of-speech tagging and dependency edge prediction, and show that popular probes on ELMo representations are not selective. We also find that dropout, commonly used to control probe complexity, is ineffective for improving selectivity of MLPs, but that other forms of regularization are effective. Finally, we find that while probes on the first layer of ELMo yield slightly better part-of-speech tagging accuracy than the second, probes on the second layer are substantially more selective, which raises the question of which layer better represents parts-of-speech.","ArXiv","574","93.3","10.18653/v1/D19-1275","https://doi.org/10.18653/v1/D19-1275","","true","{'url': 'https://www.aclweb.org/anthology/D19-1275.pdf', 'status': 'GOLD'}","199ff73d2f728e997f860b62a2322823d3e3d9e8",""
"148","","Inference-Time Intervention: Eliciting Truthful Answers from a Language Model","2023","2023-06-06","Kenneth Li, Oam Patel, Fernanda Vi'egas, H. Pfister, M. Wattenberg","We introduce Inference-Time Intervention (ITI), a technique designed to enhance the""truthfulness""of large language models (LLMs). ITI operates by shifting model activations during inference, following a set of directions across a limited number of attention heads. This intervention significantly improves the performance of LLaMA models on the TruthfulQA benchmark. On an instruction-finetuned LLaMA called Alpaca, ITI improves its truthfulness from 32.5% to 65.1%. We identify a tradeoff between truthfulness and helpfulness and demonstrate how to balance it by tuning the intervention strength. ITI is minimally invasive and computationally inexpensive. Moreover, the technique is data efficient: while approaches like RLHF require extensive annotations, ITI locates truthful directions using only few hundred examples. Our findings suggest that LLMs may have an internal representation of the likelihood of something being true, even as they produce falsehoods on the surface.","ArXiv","732","303.8","","https://arxiv.org/abs/2306.03341","","true","{'url': 'https://arxiv.org/pdf/2306.03341.pdf', 'status': 'GOLD'}","405f8f5f1c6df1b3343c812832479aad5180b65f",""
"149","","Understanding the Limits of Vision Language Models Through the Lens of the Binding Problem","2024","2024-10-31","Declan Campbell, Sunayana Rane, Tyler Giallanza, Nicolò De Sabbata, Kia Ghods, Amogh Joshi, Alexander Ku, Steven M. Frankland, Thomas L. Griffiths, Jonathan D. Cohen, Taylor Webb","Recent work has documented striking heterogeneity in the performance of state-of-the-art vision language models (VLMs), including both multimodal language models and text-to-image models. These models are able to describe and generate a diverse array of complex, naturalistic images, yet they exhibit surprising failures on basic multi-object reasoning tasks -- such as counting, localization, and simple forms of visual analogy -- that humans perform with near perfect accuracy. To better understand this puzzling pattern of successes and failures, we turn to theoretical accounts of the binding problem in cognitive science and neuroscience, a fundamental problem that arises when a shared set of representational resources must be used to represent distinct entities (e.g., to represent multiple objects in an image), necessitating the use of serial processing to avoid interference. We find that many of the puzzling failures of state-of-the-art VLMs can be explained as arising due to the binding problem, and that these failure modes are strikingly similar to the limitations exhibited by rapid, feedforward processing in the human brain.","ArXiv","39","38.8","10.48550/arXiv.2411.00238","https://doi.org/10.48550/arXiv.2411.00238","","true","{'url': 'https://arxiv.org/pdf/2411.00238.pdf', 'status': 'GOLD'}","d37fbf63d7a0f7ced6ef05a9cd1288ef782418af",""
"150","","Can Language Models Encode Perceptual Structure Without Grounding? A Case Study in Color","2021","2021-09-13","Mostafa Abdou, Artur Kulmizev, Daniel Hershcovich, Stella Frank, Ellie Pavlick, Anders Søgaard","Pretrained language models have been shown to encode relational information, such as the relations between entities or concepts in knowledge-bases — (Paris, Capital, France). However, simple relations of this type can often be recovered heuristically and the extent to which models implicitly reflect topological structure that is grounded in world, such as perceptual structure, is unknown. To explore this question, we conduct a thorough case study on color. Namely, we employ a dataset of monolexemic color terms and color chips represented in CIELAB, a color space with a perceptually meaningful distance metric. Using two methods of evaluating the structural alignment of colors in this space with text-derived color term representations, we find significant correspondence. Analyzing the differences in alignment across the color spectrum, we find that warmer colors are, on average, better aligned to the perceptual color space than cooler ones, suggesting an intriguing connection to findings from recent work on efficient communication in color naming. Further analysis suggests that differences in alignment are, in part, mediated by collocationality and differences in syntactic usage, posing questions as to the relationship between color perception and usage and context.","","147","35.5","10.18653/v1/2021.conll-1.9","https://doi.org/10.18653/v1/2021.conll-1.9","","true","{'url': 'https://aclanthology.org/2021.conll-1.9.pdf', 'status': 'GOLD'}","cd9113cd9677883c865cde747cddc0542e43fc4c",""
"151","","GPT-4o System Card","2024","2024-10-25","OpenAI Aaron Hurst, Adam Lerer, Adam P. Goucher, Adam Perelman, Aditya Ramesh, Aidan Clark, AJ Ostrow, Akila Welihinda, Alan Hayes, Alec Radford, Aleksander Mkadry, Alex Baker-Whitcomb, Alex Beutel, A. Borzunov, Alex Carney, Alex Chow, Alexander Kirillov, Alex Nichol, A. Paino, Alex Renzin, Alexandre Passos, Alexander Kirillov, Alexi Christakis, Alexis Conneau, Ali Kamali, A. Jabri, Allison Moyer, Allison Tam, Amadou Crookes, Amin Tootoochian, Amin Tootoonchian, Ananya Kumar, Andrea Vallone, A. Karpathy, Andrew Braunstein, Andrew Cann, Andrew Codispoti, A. Galu, Andrew Kondrich, Andrew Tulloch, An-drey Mishchenko, Angela Baek, Angela Jiang, An-toine Pelisse, Antonia Woodford, Anuj Gosalia, Arka Dhar, Ashley Pantuliano, Avi Nayak, Avital Oliver, Barret Zoph, B. Ghorbani, Ben Leimberger, Ben Rossen, Benjamin Sokolowsky, Ben Wang, Benjamin Zweig, Beth Hoover, B. Samic, Bob McGrew, Bobby Spero, Bogo Giertler, Bowen Cheng, Brad Lightcap, Brandon Walkin, Brendan Quinn, Brian Guarraci, Brian Hsu, Bright Kellogg, Brydon Eastman, Camillo Lugaresi, Carroll L. Wainwright, Cary Bassin, Cary Hudson, Casey Chu, Chad Nelson, Chak Li, C. Shern, Channing Conger, Charlotte Barette, Chelsea Voss, Chen Ding, Cheng Lu, Chong Zhang, Chris Beaumont, Chris Hallacy, Chris Koch, C. Gibson, Christina Kim, Christine Choi, Christine McLeavey, Chris Hesse, Claudia Fischer, Clemens Winter, Coley Czarnecki, Colin Jarvis, Colin Wei, Constantin Koumouzelis, Dane Sherburn, Daniel Kappler, Daniel Levin, Daniel Levy, David Carr, David Farhi, David Mély, David Robinson, David Sasaki, Denny Jin, Dev Valladares, Dimitris Tsipras, Doug Li, Phong Duc Nguyen, Duncan Findlay, Edede Oiwoh, Edmund Wong, Ehsan Asdar, Elizabeth Proehl, Elizabeth Yang, Eric Antonow, Eric Kramer, Eric Peterson, Eric Sigler, Eric Wallace, E. Brevdo, Evan Mays, Farzad Khorasani, F. Such, Filippo Raso, Francis Zhang, Fred von Lohmann, Freddie Sulit, Gabriel Goh, Gene Oden, Geoff Salmon, Giulio Starace, Greg Brockman, Hadi Salman, Hai-Biao Bao, Haitang Hu, Hannah Wong, Haoyu Wang, Heather Schmidt, Heather Whitney, Hee-woo Jun, Hendrik Kirchner, Henrique Pondé de Oliveira Pinto, Hongyu Ren, Huiwen Chang, Hyung Won Chung, Ian Kivlichan, Ian O’Connell, Ian Osband, Ian Silber, Ian Sohl, Ibrahim Okuyucu, Ikai Lan, Ilya Kostrikov, I. Sutskever, I. Kanitscheider, Ishaan Gulrajani, Jacob Coxon, Jacob Menick, J. Pachocki, James Aung, James Betker, James Crooks, James Lennon, J. Kiros, Jan Leike, Jane Park, Jason Kwon, Jason Phang, Jason Teplitz, Jason Wei, Jason Wolfe, Jay Chen, Jeff Harris, Jenia Varavva, Jessica Gan Lee, Jessica Shieh, Ji Lin, Jiahui Yu, Jiayi Weng, Jie Tang, Jieqi Yu, Joanne Jang, J. Q. Candela, Joe Beutler, Joe Landers, Joel Parish, Johannes Heidecke, John Schulman, Jonathan Lachman, Jonathan McKay, Jonathan Uesato, Jonathan Ward, Jong Wook Kim, Joost Huizinga, Jordan Sitkin, Jos Kraaijeveld, Joshua Gross, Josh Kaplan, Josh Snyder, Joshua Achiam, Joy Jiao, Joyce Lee, Juntang Zhuang, Justyn Harriman, Kai Fricke, Kai Hayashi, Karan Singhal, Katy Shi, Kavin Karthik, Kayla Wood, Kendra Rimbach, Kenny Hsu, Kenny Nguyen, Keren Gu-Lemberg, Kevin Button, Kevin Liu, Kiel Howe, K. Muthukumar, Kyle Luther, Lama Ahmad, Larry Kai, Lauren Itow, Lauren Workman, Leher Pathak, Leo Chen, Li Jing, Lia Guy, L. Fedus, Liang Zhou, Lien Mamitsuka, Lilian Weng, Lindsay McCallum, Lindsey Held, Ouyang Long, Louis Feuvrier, Lu Zhang, Lukasz Kondraciuk, Lukasz Kaiser, Luke Hewitt, Luke Metz, Lyric Doshi, Mada Aflak, Maddie Simens, Made-laine Boyd, Madeleine Thompson, Marat Dukhan, Mark Chen, Mark Gray, M. Hudnall, Marvin Zhang, Marwan Aljubeh, Ma-teusz Litwin, Matthew Zeng, Max Johnson, Maya Shetty, Mayank Gupta, Meghan Shah, M. Yatbaz, Mengxue Yang, Mengchao Zhong, Mia Glaese, Mianna Chen, Michael Janner, Michael Lampe, Michael Petrov, Michael Wu, Michele Wang, M. Fradin, Michelle Pokrass, Miguel Castro, Miguel Castro, Mikhail Pavlov, M. Brundage, Miles Wang, Mina Khan, Mira Murati, Mo Bavarian, Molly Lin, Murat Yesildal, Nacho Soto, N. Gimelshein, Na-talie Cone, Natalie Staudacher, Natalie Summers, Natan LaFontaine, Neil Chowdhury, N. Ryder, Nick Stathas, Nick Turley, N. Tezak, Niko Felix, Nithanth Kudige, N. Keskar, Noah Deutsch, Noel Bundick, Nora Puckett, Ofir Nachum, Ola Okelola, Oleg Boiko, O. Murk, Oliver Jaffe, Olivia Watkins, Olivier Godement, Owen Campbell-Moore, Patrick Chao, Paul McMillan, Pavel Belov, Peng Su, Peter Bak, Peter Bakkum, Peter Deng, Peter Dolan, Peter Hoeschele, Peter Welinder, P. Tillet, Philip Pronin, P. Tillet, Prafulla Dhariwal, Qim-ing Yuan, Rachel Dias, Rachel Lim, Rahul Arora, Rajan Troll, Randall Lin, Raphael Gontijo Lopes, Raul Puri, Reah Miyara, R. Leike, Renaud Gaubert, Reza Zamani, Ricky Wang, Rob Donnelly, Rob Honsby, Rocky Smith, Rohan Sahai, Rohit Ramchandani, Romain Huet, Rory Carmichael, Rowan Zellers, Roy Chen, Ruby Chen, R. Nigmatullin, Ryan Cheu, Saachi Jain, Sam Altman, Sam Schoenholz, Sam Toizer, Samuel Miserendino, Sandhini Agarwal, Sara Culver, Scott Ethersmith, Scott Gray, Sean Grove, Sean Metzger, Shamez Hermani, Shantanu Jain, Shengjia Zhao, Sherwin Wu, Shino Jomoto, Shirong Wu, Shuaiqi Xia, Sonia Phene, Spencer Papay, Srinivas Narayanan, Steve Coffey, Steve Lee, Stewart Hall, S. Balaji, Tal Broda, Tal Stramer, Tao Xu, Tarun Gogineni, Taya Christianson, Ted Sanders, Tejal Patwardhan, Thomas Cunninghman, Thomas Degry, Thomas Dimson, Thomas Raoux, Thomas Shadwell, Tianhao Zheng, Todd Underwood, Todor Markov, Toki Sherbakov, Tom Rubin, Tom Stasi, Tomer Kaftan, Tristan Heywood, Troy Peterson, Tyce Walters, Tyna Eloundou, Valerie Qi, Veit Moeller, Vinnie Monaco, Vishal Kuo, Vlad Fomenko, Wayne Chang, Weiyi Zheng, Wenda Zhou, Wesam Manassra, Will Sheu, Wojciech Zaremba, Yash Patil, Yilei Qian, Yongjik Kim, Youlong Cheng, Yu Zhang, Yuchen He, Yuchen Zhang, Yujia Jin, Yunxing Dai, Yury Malkov","GPT-4o is an autoregressive omni model that accepts as input any combination of text, audio, image, and video, and generates any combination of text, audio, and image outputs. It's trained end-to-end across text, vision, and audio, meaning all inputs and outputs are processed by the same neural network. GPT-4o can respond to audio inputs in as little as 232 milliseconds, with an average of 320 milliseconds, which is similar to human response time in conversation. It matches GPT-4 Turbo performance on text in English and code, with significant improvement on text in non-English languages, while also being much faster and 50\% cheaper in the API. GPT-4o is especially better at vision and audio understanding compared to existing models. In line with our commitment to building AI safely and consistent with our voluntary commitments to the White House, we are sharing the GPT-4o System Card, which includes our Preparedness Framework evaluations. In this System Card, we provide a detailed look at GPT-4o's capabilities, limitations, and safety evaluations across multiple categories, focusing on speech-to-speech while also evaluating text and image capabilities, and measures we've implemented to ensure the model is safe and aligned. We also include third-party assessments on dangerous capabilities, as well as discussion of potential societal impacts of GPT-4o's text and vision capabilities.","ArXiv","2122","2077.9","10.48550/arXiv.2410.21276","https://doi.org/10.48550/arXiv.2410.21276","","true","{'url': 'https://arxiv.org/pdf/2410.21276.pdf', 'status': 'GOLD'}","7943ec4a67151a559b25cd34369e661c9a7924c8",""
"152","","Understanding intermediate layers using linear classifier probes","2016","2016-10-05","Guillaume Alain, Yoshua Bengio","Neural network models have a reputation for being black boxes. We propose to monitor the features at every layer of a model and measure how suitable they are for classification. We use linear classifiers, which we refer to as ""probes"", trained entirely independently of the model itself. 
This helps us better understand the roles and dynamics of the intermediate layers. We demonstrate how this can be used to develop a better intuition about models and to diagnose potential problems. 
We apply this technique to the popular models Inception v3 and Resnet-50. Among other things, we observe experimentally that the linear separability of features increase monotonically along the depth of the model.","ArXiv","1080","119","","https://arxiv.org/abs/1610.01644","","true","{'url': 'https://arxiv.org/pdf/1610.01644.pdf', 'status': 'GOLD'}","5e23a28063b395bdaf784dc548a046885cb90cf2",""
"153","","Probing Classifiers: Promises, Shortcomings, and Advances","2021","2021-02-24","Yonatan Belinkov","Probing classifiers have emerged as one of the prominent methodologies for interpreting and analyzing deep neural network models of natural language processing. The basic idea is simple—a classifier is trained to predict some linguistic property from a model’s representations—and has been used to examine a wide variety of models and properties. However, recent studies have demonstrated various methodological limitations of this approach. This squib critically reviews the probing classifiers framework, highlighting their promises, shortcomings, and advances.","Computational Linguistics","534","113.9","10.1162/coli_a_00422","https://doi.org/10.1162/coli_a_00422","","true","{'url': 'https://direct.mit.edu/coli/article-pdf/48/1/207/2006605/coli_a_00422.pdf', 'status': 'GOLD'}","3dcfa05a1c162e6cab927c5b08d0444f7b6691f4",""
"154","","Analysis Methods in Neural Language Processing: A Survey","2018","2018-12-21","Yonatan Belinkov, James R. Glass","The field of natural language processing has seen impressive progress in recent years, with neural network models replacing many of the traditional systems. A plethora of new models have been proposed, many of which are thought to be opaque compared to their feature-rich counterparts. This has led researchers to analyze, interpret, and evaluate neural networks in novel and more fine-grained ways. In this survey paper, we review analysis methods in neural language processing, categorize them according to prominent research trends, highlight existing limitations, and point to potential directions for future work.","Transactions of the Association for Computational Linguistics","569","82.9","10.1162/tacl_a_00254","https://doi.org/10.1162/tacl_a_00254","","true","{'url': 'https://www.mitpressjournals.org/doi/pdf/10.1162/tacl_a_00254', 'status': 'GOLD'}","668f42a4d4094f0a66d402a16087e14269b31a1f",""
"155","","Linguistic Regularities in Continuous Space Word Representations","2013","2013-05-27","Tomas Mikolov, Wen-tau Yih, G. Zweig","","","3746","301.2","","https://aclanthology.org/N13-1090","","true","{'url': 'https://aclanthology.org/N13-1090.pdf', 'status': 'GOLD'}","c4fd9c86b2b41df51a6fe212406dda81b1997fd4",""
"156","","Transformer Feed-Forward Layers Are Key-Value Memories","2020","2020-12-29","Mor Geva, R. Schuster, Jonathan Berant, Omer Levy","Feed-forward layers constitute two-thirds of a transformer model’s parameters, yet their role in the network remains under-explored. We show that feed-forward layers in transformer-based language models operate as key-value memories, where each key correlates with textual patterns in the training examples, and each value induces a distribution over the output vocabulary. Our experiments show that the learned patterns are human-interpretable, and that lower layers tend to capture shallow patterns, while upper layers learn more semantic ones. The values complement the keys’ input patterns by inducing output distributions that concentrate probability mass on tokens likely to appear immediately after each pattern, particularly in the upper layers. Finally, we demonstrate that the output of a feed-forward layer is a composition of its memories, which is subsequently refined throughout the model’s layers via residual connections to produce the final output distribution.","ArXiv","1039","214.5","10.18653/v1/2021.emnlp-main.446","https://doi.org/10.18653/v1/2021.emnlp-main.446","","true","{'url': 'https://aclanthology.org/2021.emnlp-main.446.pdf', 'status': 'GOLD'}","4a54d58a4b20e4f3af25cea3c188a12082a95e02",""
"157","","Connectionism and cognitive architecture: A critical analysis","1988","1988-03-31","J. Fodor, Z. Pylyshyn","","Cognition","4009","106.6","10.1016/0010-0277(88)90031-5","https://doi.org/10.1016/0010-0277(88)90031-5","","false","","56cbfcbfffd8c54bd8477d10b6e0e17e097b97c7",""
"158","","BERT Rediscovers the Classical NLP Pipeline","2019","2019-05-15","Ian Tenney, Dipanjan Das, Ellie Pavlick","Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks. We focus on one such model, BERT, and aim to quantify where linguistic information is captured within the network. We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference. Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.","","1522","235.3","10.18653/v1/P19-1452","https://doi.org/10.18653/v1/P19-1452","","true","{'url': 'http://arxiv.org/pdf/1905.05950', 'status': 'GOLD'}","97906df07855b029b7aae7c2a1c6c5e8df1d531c",""
"159","","How Do Transformers Learn Variable Binding in Symbolic Programs?","2025","2025-05-27","Yiwei Wu, Atticus Geiger, Raphael Milliere","Variable binding -- the ability to associate variables with values -- is fundamental to symbolic computation and cognition. Although classical architectures typically implement variable binding via addressable memory, it is not well understood how modern neural networks lacking built-in binding operations may acquire this capacity. We investigate this by training a Transformer to dereference queried variables in symbolic programs where variables are assigned either numerical constants or other variables. Each program requires following chains of variable assignments up to four steps deep to find the queried value, and also contains irrelevant chains of assignments acting as distractors. Our analysis reveals a developmental trajectory with three distinct phases during training: (1) random prediction of numerical constants, (2) a shallow heuristic prioritizing early variable assignments, and (3) the emergence of a systematic mechanism for dereferencing assignment chains. Using causal interventions, we find that the model learns to exploit the residual stream as an addressable memory space, with specialized attention heads routing information across token positions. This mechanism allows the model to dynamically track variable bindings across layers, resulting in accurate dereferencing. Our results show how Transformer models can learn to implement systematic variable binding without explicit architectural support, bridging connectionist and symbolic approaches. To facilitate reproducible research, we developed Variable Scope, an interactive web platform for exploring our findings at https://variablescope.org","ArXiv","5","11.5","10.48550/arXiv.2505.20896","https://doi.org/10.48550/arXiv.2505.20896","","true","{'url': 'https://arxiv.org/pdf/2505.20896.pdf', 'status': 'GOLD'}","a8e89d47c97a15b652c9c3eda748291378be6dee",""
"160","","Circuit Distillation","2025","2025-09-29","Somin Wadhwa, Silvio Amir, Byron C. Wallace","Model distillation typically focuses on behavioral mimicry, where a student model is trained to replicate a teacher's output while treating its internal computations as a black box. In this work we propose an alternative approach: Distilling the underlying computational mechanisms implemented by a teacher model. Specifically, we propose circuit distillation, which introduces an objective to align internal representations between analogous circuit components in teacher and student models. We propose a method to match ``functionally correspondent''circuit components and introduce a loss reflecting similarities between the representations that these induce. We evaluate circuit distillation on entity tracking and theory of mind (ToM) tasks using models from the Llama3 family. Our results demonstrate that circuit distillation outperforms standard distillation, successfully transferring algorithmic capabilities by adjusting only a small, targeted subset of student model parameters. This work establishes the feasibility of transferring mechanisms, which may in turn allow for efficient distillation of targeted teacher capabilities via interpretable and controllable internal student mechanisms.","ArXiv","0","0","10.48550/arXiv.2509.25002","https://doi.org/10.48550/arXiv.2509.25002","","true","{'url': 'https://arxiv.org/pdf/2509.25002.pdf', 'status': 'GOLD'}","82dce9da2a1421db06baaaa3c75979dc81fccc13",""
"161","","Shape Happens: Automatic Feature Manifold Discovery in LLMs via Supervised Multi-Dimensional Scaling","2025","2025-10-01","Federico Tiblias, Irina Bigoulaeva, Jingcheng Niu, Simone Balloccu, Iryna Gurevych","The linear representation hypothesis states that language models (LMs) encode concepts as directions in their latent space, forming organized, multidimensional manifolds. Prior efforts focus on discovering specific geometries for specific features, and thus lack generalization. We introduce Supervised Multi-Dimensional Scaling (SMDS), a model-agnostic method to automatically discover feature manifolds. We apply SMDS to temporal reasoning as a case study, finding that different features form various geometric structures such as circles, lines, and clusters. SMDS reveals many insights on these structures: they consistently reflect the properties of the concepts they represent; are stable across model families and sizes; actively support reasoning in models; and dynamically reshape in response to context changes. Together, our findings shed light on the functional role of feature manifolds, supporting a model of entity-based reasoning in which LMs encode and transform structured representations.","ArXiv","0","0","","https://arxiv.org/abs/2510.01025","","true","{'url': 'https://arxiv.org/pdf/2510.01025.pdf', 'status': 'GOLD'}","f7da192b1ff92d4a756f9588bce19c1c3f712c42",""
"162","","Behavioural vs. Representational Systematicity in End-to-End Models: An Opinionated Survey","2025","2025-06-04","Ivan Vegner, Sydelle de Souza, Valentin Forch, Martha Lewis, Leonidas A. A. Doumas","A core aspect of compositionality, systematicity is a desirable property in ML models as it enables strong generalization to novel contexts. This has led to numerous studies proposing benchmarks to assess systematic generalization, as well as models and training regimes designed to enhance it. Many of these efforts are framed as addressing the challenge posed by Fodor and Pylyshyn. However, while they argue for systematicity of representations, existing benchmarks and models primarily focus on the systematicity of behaviour. We emphasize the crucial nature of this distinction. Furthermore, building on Hadley's (1994) taxonomy of systematic generalization, we analyze the extent to which behavioural systematicity is tested by key benchmarks in the literature across language and vision. Finally, we highlight ways of assessing systematicity of representations in ML models as practiced in the field of mechanistic interpretability.","ArXiv","1","2.4","10.48550/arXiv.2506.04461","https://doi.org/10.48550/arXiv.2506.04461","","true","{'url': 'https://arxiv.org/pdf/2506.04461.pdf', 'status': 'GOLD'}","414301fcca49f2d0ccce977e94547879ae0c6d5b",""
